,Date,Price
1644,2009-02-25,4.056000232696533
1645,2009-02-26,4.077000141143799
1646,2009-02-27,4.197999954223633
1647,2009-03-02,4.151999950408936
1648,2009-03-03,4.2820000648498535
1649,2009-03-04,4.340000152587891
1650,2009-03-05,4.0879998207092285
1651,2009-03-06,3.944999933242798
1652,2009-03-09,3.865000009536743
1653,2009-03-10,3.839999914169312
1654,2009-03-11,3.79800009727478
1655,2009-03-12,3.994999885559082
1656,2009-03-13,3.931999921798706
1657,2009-03-16,3.849999904632568
1658,2009-03-17,3.812000036239624
1659,2009-03-18,3.684000015258789
1660,2009-03-19,4.173999786376953
1661,2009-03-20,4.227000236511231
1662,2009-03-23,4.294000148773193
1663,2009-03-24,4.3470001220703125
1664,2009-03-25,4.328999996185303
1665,2009-03-26,3.947000026702881
1666,2009-03-27,3.63100004196167
1667,2009-03-30,3.739000082015991
1668,2009-03-31,3.776000022888184
1669,2009-04-01,3.694999933242798
1670,2009-04-02,3.7820000648498535
1671,2009-04-03,3.8010001182556152
1672,2009-04-06,3.732000112533569
1673,2009-04-07,3.562000036239624
1674,2009-04-08,3.630000114440918
1675,2009-04-09,3.609999895095825
1676,2009-04-13,3.628000020980835
1677,2009-04-14,3.688999891281128
1678,2009-04-15,3.693000078201294
1679,2009-04-16,3.5989999771118164
1680,2009-04-17,3.7290000915527344
1681,2009-04-20,3.539999961853028
1682,2009-04-21,3.510999917984009
1683,2009-04-22,3.532000064849853
1684,2009-04-23,3.4089999198913574
1685,2009-04-24,3.296999931335449
1686,2009-04-27,3.253000020980835
1687,2009-04-28,3.321000099182129
1688,2009-04-29,3.4030001163482666
1689,2009-04-30,3.372999906539917
1690,2009-05-01,3.5460000038146973
1691,2009-05-04,3.724999904632568
1692,2009-05-05,3.615000009536743
1693,2009-05-06,3.88700008392334
1694,2009-05-07,4.080999851226807
1695,2009-05-08,4.310999870300293
1696,2009-05-11,4.302000045776367
1697,2009-05-12,4.448999881744385
1698,2009-05-13,4.333000183105469
1699,2009-05-14,4.291999816894531
1700,2009-05-15,4.0980000495910645
1701,2009-05-18,4.138999938964844
1702,2009-05-19,3.9140000343322754
1703,2009-05-20,3.9700000286102295
1704,2009-05-21,3.6029999256134033
1705,2009-05-22,3.515000104904175
1706,2009-05-26,3.5369999408721924
1707,2009-05-27,3.5380001068115234
1708,2009-05-28,3.9570000171661377
1709,2009-05-29,3.8350000381469727
1710,2009-06-01,4.249000072479248
1711,2009-06-02,4.119999885559082
1712,2009-06-03,3.766000032424927
1713,2009-06-04,3.809999942779541
1714,2009-06-05,3.868000030517578
1715,2009-06-08,3.7309999465942383
1716,2009-06-09,3.7309999465942383
1717,2009-06-10,3.7079999446868896
1718,2009-06-11,3.933000087738037
1719,2009-06-12,3.857000112533569
1720,2009-06-15,4.182000160217285
1721,2009-06-16,4.129000186920166
1722,2009-06-17,4.252999782562256
1723,2009-06-18,4.0929999351501465
1724,2009-06-19,4.0320000648498535
1725,2009-06-22,3.933000087738037
1726,2009-06-23,3.878999948501587
1727,2009-06-24,3.760999917984009
1728,2009-06-25,3.8440001010894775
1729,2009-06-26,3.9489998817443848
1730,2009-06-29,3.944000005722046
1731,2009-06-30,3.8350000381469727
1732,2009-07-01,3.795000076293945
1733,2009-07-02,3.615000009536743
1734,2009-07-06,3.486999988555908
1735,2009-07-07,3.428999900817871
1736,2009-07-08,3.3529999256134038
1737,2009-07-09,3.407999992370605
1738,2009-07-10,3.372999906539917
1739,2009-07-13,3.263000011444092
1740,2009-07-14,3.428999900817871
1741,2009-07-15,3.282999992370605
1742,2009-07-16,3.6679999828338623
1743,2009-07-17,3.6689999103546143
1744,2009-07-20,3.688999891281128
1745,2009-07-21,3.704999923706055
1746,2009-07-22,3.7929999828338623
1747,2009-07-23,3.549999952316284
1748,2009-07-24,3.694999933242798
1749,2009-07-27,3.6040000915527344
1750,2009-07-28,3.5350000858306885
1751,2009-07-29,3.378999948501587
1752,2009-07-30,3.743000030517578
1753,2009-07-31,3.6530001163482666
1754,2009-08-03,4.031000137329102
1755,2009-08-04,4.000999927520752
1756,2009-08-05,4.041999816894531
1757,2009-08-06,3.743000030517578
1758,2009-08-07,3.674000024795532
1759,2009-08-10,3.641000032424927
1760,2009-08-11,3.5409998893737797
1761,2009-08-12,3.4790000915527344
1762,2009-08-13,3.3359999656677246
1763,2009-08-14,3.23799991607666
1764,2009-08-17,3.1630001068115234
1765,2009-08-18,3.095999956130981
1766,2009-08-19,3.11899995803833
1767,2009-08-20,2.944999933242798
1768,2009-08-21,2.803999900817871
1769,2009-08-24,2.9230000972747803
1770,2009-08-25,2.881999969482422
1771,2009-08-26,2.9100000858306885
1772,2009-08-27,2.8429999351501465
1773,2009-08-28,3.032999992370605
1774,2009-08-31,2.976999998092652
1775,2009-09-01,2.821000099182129
1776,2009-09-02,2.7149999141693115
1777,2009-09-03,2.507999897003174
1778,2009-09-04,2.7279999256134038
1779,2009-09-08,2.806999921798706
1780,2009-09-09,2.8289999961853027
1781,2009-09-10,3.25600004196167
1782,2009-09-11,2.9600000381469727
1783,2009-09-14,3.296999931335449
1784,2009-09-15,3.319999933242798
1785,2009-09-16,3.759999990463257
1786,2009-09-17,3.4579999446868896
1787,2009-09-18,3.7780001163482666
1788,2009-09-21,3.575999975204468
1789,2009-09-22,3.608999967575073
1790,2009-09-23,3.859999895095825
1791,2009-09-24,3.954999923706055
1792,2009-09-25,3.984999895095825
1793,2009-09-28,3.7300000190734863
1794,2009-09-29,4.875
1795,2009-09-30,4.841000080108643
1796,2009-10-01,4.466000080108643
1797,2009-10-02,4.7179999351501465
1798,2009-10-05,4.986999988555908
1799,2009-10-06,4.880000114440918
1800,2009-10-07,4.90399980545044
1801,2009-10-08,4.9629998207092285
1802,2009-10-09,4.769999980926514
1803,2009-10-12,4.880000114440918
1804,2009-10-13,4.5879998207092285
1805,2009-10-14,4.435999870300293
1806,2009-10-15,4.48199987411499
1807,2009-10-16,4.781000137329102
1808,2009-10-19,4.835000038146973
1809,2009-10-20,5.160999774932861
1810,2009-10-21,5.099999904632568
1811,2009-10-22,4.947000026702881
1812,2009-10-23,4.787000179290772
1813,2009-10-26,4.513000011444092
1814,2009-10-27,4.557000160217285
1815,2009-10-28,4.289000034332275
1816,2009-10-29,5.061999797821045
1817,2009-10-30,5.045000076293945
1818,2009-11-02,4.823999881744385
1819,2009-11-03,4.921999931335449
1820,2009-11-04,4.724999904632568
1821,2009-11-05,4.7820000648498535
1822,2009-11-06,4.59499979019165
1823,2009-11-09,4.670000076293945
1824,2009-11-10,4.4670000076293945
1825,2009-11-11,4.502999782562256
1826,2009-11-12,4.369999885559082
1827,2009-11-13,4.392000198364258
1828,2009-11-16,4.613999843597412
1829,2009-11-17,4.53000020980835
1830,2009-11-18,4.254000186920166
1831,2009-11-19,4.3420000076293945
1832,2009-11-20,4.423999786376953
1833,2009-11-23,4.4730000495910645
1834,2009-11-24,4.486000061035156
1835,2009-11-25,5.163000106811523
1836,2009-11-27,5.191999912261963
1837,2009-11-30,4.8480000495910645
1838,2009-12-01,4.76200008392334
1839,2009-12-02,4.53000020980835
1840,2009-12-03,4.459000110626221
1841,2009-12-04,4.585999965667725
1842,2009-12-07,4.9710001945495605
1843,2009-12-08,5.113999843597412
1844,2009-12-09,4.8979997634887695
1845,2009-12-10,5.297999858856201
1846,2009-12-11,5.163000106811523
1847,2009-12-14,5.331999778747559
1848,2009-12-15,5.5229997634887695
1849,2009-12-16,5.461999893188477
1850,2009-12-17,5.76800012588501
1851,2009-12-18,5.7820000648498535
1852,2009-12-21,5.669000148773193
1853,2009-12-22,5.715000152587891
1854,2009-12-23,5.821000099182129
1855,2009-12-24,5.64300012588501
1856,2009-12-28,5.989999771118164
1857,2009-12-29,5.814000129699707
1858,2009-12-30,5.709000110626221
1859,2009-12-31,5.572000026702881
1860,2010-01-04,5.883999824523926
1861,2010-01-05,5.63700008392334
1862,2010-01-06,6.008999824523926
1863,2010-01-07,5.806000232696533
1864,2010-01-08,5.749000072479248
1865,2010-01-11,5.453999996185303
1866,2010-01-12,5.591000080108643
1867,2010-01-13,5.732999801635742
1868,2010-01-14,5.5879998207092285
1869,2010-01-15,5.690999984741211
1870,2010-01-19,5.557000160217285
1871,2010-01-20,5.495999813079834
1872,2010-01-21,5.614999771118164
1873,2010-01-22,5.818999767303467
1874,2010-01-25,5.7220001220703125
1875,2010-01-26,5.485000133514404
1876,2010-01-27,5.27400016784668
1877,2010-01-28,5.138000011444092
1878,2010-01-29,5.13100004196167
1879,2010-02-01,5.434000015258789
1880,2010-02-02,5.453999996185303
1881,2010-02-03,5.419000148773193
1882,2010-02-04,5.415999889373779
1883,2010-02-05,5.514999866485596
1884,2010-02-08,5.401000022888184
1885,2010-02-09,5.289999961853027
1886,2010-02-10,5.291999816894531
